TSLA34  ;552.0;03/09/2020;
TSMC34  ;424.79;03/09/2020;
TUPY3   ;16.85;03/09/2020;
TWTR34  ;110.5;03/09/2020;
U1AL34  ;98.95;03/09/2020;
U1BE34  ;182.95;03/09/2020;
UCAS3   ;4.23;03/09/2020;
UGPA3   ;20.72;03/09/2020;
ULEV34  ;320.0;03/09/2020;
UNHH34  ;340.41;03/09/2020;
UNIP3   ;35.42;03/09/2020;
UNIP5   ;29.99;03/09/2020;
UNIP6   ;29.12;03/09/2020;
UPAC34  ;251.5;03/09/2020;
UPSS34  ;214.84;03/09/2020;
USIM3   ;10.92;03/09/2020;
USIM5   ;10.66;03/09/2020;
V1TA34  ;120.0;03/09/2020;
VALE3   ;60.0;03/09/2020;
VERZ34  ;319.4;03/09/2020;
VISA34  ;1126.61;03/09/2020;
VIVA3   ;26.2;03/09/2020;
VIVT3   ;48.69;03/09/2020;
VIVT4   ;48.62;03/09/2020;
VLID3   ;10.35;03/09/2020;
VLOE34  ;140.61;03/09/2020;
VRTX34  ;353.84;03/09/2020;
VULC3   ;6.46;03/09/2020;
VVAR3   ;20.62;03/09/2020;
WALM34  ;194.97;03/09/2020;
WEGE3   ;66.7;03/09/2020;
WFCO34  ;132.3;03/09/2020;
WHRL3   ;7.16;03/09/2020;
WHRL4   ;7.41;03/09/2020;
WIZS3   ;10.85;03/09/2020;
WLMM3   ;16.99;03/09/2020;
WLMM4   ;20.25;03/09/2020;
WSON33  ;39.67;03/09/2020;
YDUQ3   ;27.5;03/09/2020;
BZLI11  ;16.0;03/09/2020;
ATMP3   ;4.41;03/09/2020;
LLIS3   ;5.95;03/09/2020;
TXRX3   ;63.01;03/09/2020;
TXRX4   ;10.58;03/09/2020;
BDLL4   ;8.49;03/09/2020;
ETER3   ;4.9;03/09/2020;
FHER3   ;2.98;03/09/2020;
FRTA3   ;4.53;03/09/2020;
GPCP3   ;77.48;03/09/2020;
HOOT4   ;2.67;03/09/2020;
IGBR3   ;3.18;03/09/2020;
INEP3   ;5.9;03/09/2020;
INEP4   ;5.6;03/09/2020;
LUPA3   ;2.11;03/09/2020;
MMXM3   ;1.84;03/09/2020;
MMXM11  ;0.74;03/09/2020;
MWET3   ;67.78;03/09/2020;
MWET4   ;6.75;03/09/2020;
OIBR3   ;1.89;03/09/2020;
OIBR4   ;2.82;03/09/2020;
OSXB3   ;4.4;03/09/2020;
PDGR3   ;4.01;03/09/2020;
RNEW3   ;3.18;03/09/2020;
RNEW4   ;2.93;03/09/2020;
RNEW11  ;9.16;03/09/2020;
RPMG3   ;2.94;03/09/2020;
SLED3   ;1.15;03/09/2020;
SLED4   ;0.82;03/09/2020;
SNSY3   ;40.01;03/09/2020;
SNSY5   ;8.6;03/09/2020;
TCNO3   ;2.14;03/09/2020;
TCNO4   ;1.54;03/09/2020;
TEKA4   ;9.7;03/09/2020;
VIVR3   ;1.34;03/09/2020;
ABCB2   ;2.64;03/09/2020;
BIDI13  ;61.5;03/09/2020;
BTOW9   ;109.61;03/09/2020;
CVCB9   ;18.33;03/09/2020;
GFSA1   ;0.74;03/09/2020;
ABCP11  ;76.5;03/09/2020;
ALMI11  ;1189.99;03/09/2020;
ALZR11  ;135.0;03/09/2020;
